Abandon>>|<<v.>>|<<Abandonment; relinquishment.
Range>>|<<v.>>|<<The region within which a plant or animal naturally lives.
Range>>|<<v.>>|<<The horizontal distance to which a shot or other projectile is carried.
Range>>|<<v.>>|<<Sometimes, less properly, the trajectory of a shot or projectile.
Range>>|<<v.>>|<<A place where shooting, as with cannons or rifles, is practiced.
Range>>|<<v.>>|<<In the public land system of the United States, a row or line of townships lying between two successive meridian lines six miles apart.
Range>>|<<v.>>|<<See Range of cable, below.
Rank>>|<<n. &amp; v.>>|<<A row or line; a range; an order; a tier; as, a rank of osiers.
Rank>>|<<n. &amp; v.>>|<<A line of soldiers ranged side by side; -- opposed to file. See 1st File, 1 (a).
Rank>>|<<n. &amp; v.>>|<<Grade of official standing, as in the army, navy, or nobility; as, the rank of general; the rank of admiral.
Rank>>|<<n. &amp; v.>>|<<An aggregate of individuals classed together; a permanent social class; an order; a division; as, ranks and orders of men; the highest and the lowest ranks of men, or of other intelligent beings.
Rank>>|<<n. &amp; v.>>|<<Degree of dignity, eminence, or excellence; position in civil or social life; station; degree; grade; as, a writer of the first rank; a lawyer of high rank.
Rank>>|<<n. &amp; v.>>|<<Elevated grade or standing; high degree; high social position; distinction; eminence; as, a man of rank.
Rap>>|<<v.>>|<<To snatch away; to seize and hurry off.
Rap>>|<<v.>>|<<To hasten.
Rap>>|<<v.>>|<<To seize and bear away, as the mind or thoughts; to transport out of one's self; to affect with ecstasy or rapture; as, rapt into admiration.
Rap>>|<<v.>>|<<To exchange; to truck.
Rappee>>|<<v.>>|<<A pungent kind of snuff made from the darker and ranker kinds of tobacco leaves.
Rascal>>|<<v.>>|<<One of the rabble; a low, common sort of person or creature; collectively, the rabble; the common herd; also, a lean, ill-conditioned beast, esp. a deer.
Rascal>>|<<v.>>|<<A mean, trickish fellow; a base, dishonest person; a rogue; a scoundrel; a trickster.
Rasp>>|<<v.>>|<<A coarse file, on which the cutting prominences are distinct points raised by the oblique stroke of a sharp punch, instead of lines raised by a chisel, as on the true file.
Rasp>>|<<v.>>|<<The raspberry.
Raspatory>>|<<v.>>|<<A surgeon's rasp.
Rasure>>|<<v.>>|<<The act of rasing, scraping, or erasing; erasure; obliteration.
Rasure>>|<<v.>>|<<A mark by which a letter, word, or any part of a writing or print, is erased, effaced, or obliterated; an erasure.
Read>>|<<v.>>|<<Reading.
Reap>>|<<v.>>|<<A bundle of grain; a handful of grain laid down by the reaper as it is cut.
Recount>>|<<v.>>|<<To tell over; to relate in detail; to recite; to tell or narrate the particulars of; to rehearse; to enumerate; as, to recount one's blessings.
Reed>>|<<v. &amp; n.>>|<<Same as Rede.
Reenforce>>|<<v.>>|<<Something which reenforces or strengthens.
Reenforce>>|<<v.>>|<<That part of a cannon near the breech which is thicker than the rest of the piece, so as better to resist the force of the exploding powder. See Illust. of Cannon.
Reenforce>>|<<v.>>|<< (b) 
Reenforce>>|<<v.>>|<<An additional thickness of canvas, cloth, or the like, around an eyelet, buttonhole, etc.
Reflect>>|<<v.>>|<<To bend back; to give a backwa/d turn to; to throw back; especially, to cause to return after striking upon any surface; as, a mirror reflects rays of light; polished metals reflect heat.
Reflect>>|<<v.>>|<<To give back an image or likeness of; to mirror.
Refrain>>|<<v.>>|<<The burden of a song; a phrase or verse which recurs at the end of each of the separate stanzas or divisions of a poetic composition.
Registration>>|<<v.>>|<<The act of registering; registry; enrollment.
Registration>>|<<v.>>|<<The art of selecting and combining the stops or registers of an organ.
Regne>>|<<n. &amp; v.>>|<<See Reign.
Regret>>|<<v.>>|<<Pain of mind on account of something done or experienced in the past, with a wish that it had been different; a looking back with dissatisfaction or with longing; grief; sorrow; especially, a mourning on account of the loss of some joy, advantage, or satisfaction.
Regret>>|<<v.>>|<<Dislike; aversion.
Relapse>>|<<v.>>|<<A sliding or falling back, especially into a former bad state, either of body or morals; backsliding; the state of having fallen back.
Relapse>>|<<v.>>|<<One who has relapsed, or fallen back, into error; a backslider; specifically, one who, after recanting error, returns to it again.
Rennet>>|<<v.>>|<<The inner, or mucous, membrane of the fourth stomach of the calf, or other young ruminant; also, an infusion or preparation of it, used for coagulating milk.
Renown>>|<<v.>>|<<The state of being much known and talked of; exalted reputation derived from the extensive praise of great achievements or accomplishments; fame; celebrity; -- always in a good sense.
Renown>>|<<v.>>|<<Report of nobleness or exploits; praise.
Replica>>|<<v. &amp; n.>>|<<A copy of a work of art, as of a picture or statue, made by the maker of the original.
Replica>>|<<v. &amp; n.>>|<<Repetition.
Repose>>|<<v.>>|<<To cause to stop or to rest after motion; hence, to deposit; to lay down; to lodge; to reposit.
Repose>>|<<v.>>|<<To lay at rest; to cause to be calm or quiet; to compose; to rest, -- often reflexive; as, to repose one's self on a couch.
Repose>>|<<v.>>|<<To place, have, or rest; to set; to intrust.
Repose>>|<<v.>>|<<A lying at rest; sleep; rest; quiet.
Repose>>|<<v.>>|<<Rest of mind; tranquillity; freedom from uneasiness; also, a composed manner or deportment.
Repose>>|<<v.>>|<<A rest; a pause.
Repose>>|<<v.>>|<<That harmony or moderation which affords rest for the eye; -- opposed to the scattering and division of a subject into too many unconnected parts, and also to anything which is overstrained; as, a painting may want repose.
Reproach>>|<<v.>>|<<The act of reproaching; censure mingled with contempt; contumelious or opprobrious language toward any person; abusive reflections; as, severe reproach.
Reproach>>|<<v.>>|<<A cause of blame or censure; shame; disgrace.
Reproach>>|<<v.>>|<<An object of blame, censure, scorn, or derision.
Rescue>>|<<v.>>|<<The act of rescuing; deliverance from restraint, violence, or danger; liberation.
Rescue>>|<<v.>>|<<The forcible retaking, or taking away, against law, of things lawfully distrained.
Rescue>>|<<v.>>|<<The forcible liberation of a person from an arrest or imprisonment.
Rescue>>|<<v.>>|<<The retaking by a party captured of a prize made by the enemy.
Resort>>|<<v.>>|<<The act of going to, or making application; a betaking one's self; the act of visiting or seeking; recourse; as, a place of popular resort; -- often figuratively; as, to have resort to force.
Resort>>|<<v.>>|<<A place to which one betakes himself habitually; a place of frequent assembly; a haunt.
Resort>>|<<v.>>|<<That to which one resorts or looks for help; resource; refuge.
Resown>>|<<v.>>|<<To resound.
Respect>>|<<v.>>|<<The act of noticing with attention; the giving particular consideration to; hence, care; caution.
Respect>>|<<v.>>|<<Esteem; regard; consideration; honor.
Respect>>|<<v.>>|<<An expression of respect of deference; regards; as, to send one's respects to another.
Respect>>|<<v.>>|<<Reputation; repute.
Respect>>|<<v.>>|<<Relation; reference; regard.
Respect>>|<<v.>>|<<Particular; point regarded; point of view; as, in this respect; in any respect; in all respects.
Respect>>|<<v.>>|<<Consideration; motive; interest.
Restitution>>|<<v.>>|<<The act of restoring anything to its rightful owner, or of making good, or of giving an equivalent for any loss, damage, or injury; indemnification.
Restitution>>|<<v.>>|<<That which is offered or given in return for what has been lost, injured, or destroved; compensation.
Restitution>>|<<v.>>|<<The act of returning to, or recovering, a former state; as, the restitution of an elastic body.
Restitution>>|<<v.>>|<<The movement of rotetion which usually occurs in childbirth after the head has been delivered, and which causes the latter to point towards the side to which it was directed at the beginning of labor.
Retail>>|<<v.>>|<<The sale of commodities in small quantities or parcels; -- opposed to wholesale; sometimes, the sale of commodities at second hand.
Rewle>>|<<n. &amp; v.>>|<<Rule.
Rigidly>>|<<v.>>|<<In a rigid manner; stiffly.
Ripple>>|<<v.>>|<<An implement, with teeth like those of a comb, for removing the seeds and seed vessels from flax, broom corn, etc.
Rise>>|<<v.>>|<<To move from a lower position to a higher; to ascend; to mount up. Specifically: -- (a) To go upward by walking, climbing, flying, or any other voluntary motion; as, a bird rises in the air; a fish rises to the bait.
Rise>>|<<v.>>|<<To ascend or float in a fluid, as gases or vapors in air, cork in water, and the like.
Rise>>|<<v.>>|<<To move upward under the influence of a projecting force; as, a bullet rises in the air.
Rise>>|<<v.>>|<<To grow upward; to attain a certain height; as, this elm rises to the height of seventy feet.
Rise>>|<<v.>>|<<To reach a higher level by increase of quantity or bulk; to swell; as, a river rises in its bed; the mercury rises in the thermometer.
Rise>>|<<v.>>|<<To become erect; to assume an upright position; as, to rise from a chair or from a fall.
Rise>>|<<v.>>|<<To leave one's bed; to arise; as, to rise early.
Rise>>|<<v.>>|<<To tower up; to be heaved up; as, the Alps rise far above the sea.
Rise>>|<<v.>>|<<To slope upward; as, a path, a line, or surface rises in this direction.
Rise>>|<<v.>>|<<To retire; to give up a siege.
Rise>>|<<v.>>|<<To swell or puff up in the process of fermentation; to become light, as dough, and the like.
Rise>>|<<v.>>|<<To have the aspect or the effect of rising.
Rise>>|<<v.>>|<<To appear above the horizont, as the sun, moon, stars, and the like.
Rise>>|<<v.>>|<<To become apparent; to emerge into sight; to come forth; to appear; as, an eruption rises on the skin; the land rises to view to one sailing toward the shore.
Rise>>|<<v.>>|<<To become perceptible to other senses than sight; as, a noise rose on the air; odor rises from the flower.
Rise>>|<<v.>>|<<To have a beginning; to proceed; to originate; as, rivers rise in lakes or springs.
Rise>>|<<v.>>|<<To increase in size, force, or value; to proceed toward a climax.
Rise>>|<<v.>>|<<To increase in power or fury; -- said of wind or a storm, and hence, of passion.
Rise>>|<<v.>>|<<To become of higher value; to increase in price.
Rise>>|<<v.>>|<<To become larger; to swell; -- said of a boil, tumor, and the like.
Rise>>|<<v.>>|<<To increase in intensity; -- said of heat.
Rise>>|<<v.>>|<<To become louder, or higher in pitch, as the voice.
Rise>>|<<v.>>|<<To increase in amount; to enlarge; as, his expenses rose beyond his expectations.
Rise>>|<<v.>>|<<In various figurative senses.
Rise>>|<<v.>>|<<To become excited, opposed, or hostile; to go to war; to take up arms; to rebel.
Rise>>|<<v.>>|<<To attain to a better social position; to be promoted; to excel; to succeed.
Rise>>|<<v.>>|<<To become more and more dignified or forcible; to increase in interest or power; -- said of style, thought, or discourse; as, to rise in force of expression; to rise in eloquence; a story rises in interest.
Rise>>|<<v.>>|<<To come to mind; to be suggested; to occur.
Rise>>|<<v.>>|<<To come; to offer itself.
Rise>>|<<v.>>|<<To ascend from the grave; to come to life.
Rise>>|<<v.>>|<<To terminate an official sitting; to adjourn; as, the committee rose after agreeing to the report.
Rise>>|<<v.>>|<<To ascend on a musical scale; to take a higher pith; as, to rise a tone or semitone.
Rise>>|<<v.>>|<<To be lifted, or to admit of being lifted, from the imposing stone without dropping any of the type; -- said of a form.
Roil>>|<<v.>>|<<To render turbid by stirring up the dregs or sediment of; as, to roil wine, cider, etc. , in casks or bottles; to roil a spring.
Roil>>|<<v.>>|<<To disturb, as the temper; to ruffle the temper of; to rouse the passion of resentment in; to perplex.
Roll>>|<<v.>>|<<The act of rolling, or state of being rolled; as, the roll of a ball; the roll of waves.
Roll>>|<<v.>>|<<That which rolls; a roller.
Roll>>|<<v.>>|<<A heavy cylinder used to break clods.
Roll>>|<<v.>>|<<One of a set of revolving cylinders, or rollers, between which metal is pressed, formed, or smoothed, as in a rolling mill; as, to pass rails through the rolls.
Roll>>|<<v.>>|<<That which is rolled up; as, a roll of fat, of wool, paper, cloth, etc.
Roll>>|<<v.>>|<<A document written on a piece of parchment, paper, or other materials which may be rolled up; a scroll.
Roll>>|<<v.>>|<<Hence, an official or public document; a register; a record; also, a catalogue; a list.
Roll>>|<<v.>>|<<A quantity of cloth wound into a cylindrical form; as, a roll of carpeting; a roll of ribbon.
Roll>>|<<v.>>|<<A cylindrical twist of tobacco.
Roll>>|<<v.>>|<<A kind of shortened raised biscuit or bread, often rolled or doubled upon itself.
Roll>>|<<v.>>|<<The oscillating movement of a vessel from side to side, in sea way, as distinguished from the alternate rise and fall of bow and stern called pitching.
Roll>>|<<v.>>|<<A heavy, reverberatory sound; as, the roll of cannon, or of thunder.
Roll>>|<<v.>>|<<The uniform beating of a drum with strokes so rapid as scarcely to be distinguished by the ear.
Roll>>|<<v.>>|<<Part; office; duty; role.
Romage>>|<<n. &amp; v.>>|<<See Rummage.
Rouse>>|<<v.>>|<<To cause to start from a covert or lurking place; as, to rouse a deer or other animal of the chase.
Rouse>>|<<v.>>|<<To wake from sleep or repose; as, to rouse one early or suddenly.
Rouse>>|<<v.>>|<<To excite to lively thought or action from a state of idleness, languor, stupidity, or indifference; as, to rouse the faculties, passions, or emotions.
Rouse>>|<<v.>>|<<To put in motion; to stir up; to agitate.
Rouse>>|<<v.>>|<<To raise; to make erect.
Ruth>>|<<v.>>|<<Sorrow for the misery of another; pity; tenderness.
Ruth>>|<<v.>>|<<That which causes pity or compassion; misery; distress; a pitiful sight.
Sabre>>|<<n. &amp; v.>>|<<See Saber.
Sally>>|<<v.>>|<<A leaping forth; a darting; a spring.
Sally>>|<<v.>>|<<A rushing or bursting forth; a quick issue; a sudden eruption; specifically, an issuing of troops from a place besieged to attack the besiegers; a sortie.
Sally>>|<<v.>>|<<An excursion from the usual track; range; digression; deviation.
Sally>>|<<v.>>|<<A flight of fancy, liveliness, wit, or the like; a flashing forth of a quick and active mind.
Sally>>|<<v.>>|<<Transgression of the limits of soberness or steadiness; act of levity; wild gayety; frolic; escapade.
Salmon>>|<<v.>>|<<Any one of several species of fishes of the genus Salmo and allied genera. The common salmon (Salmo salar) of Northern Europe and Eastern North America, and the California salmon, or quinnat, are the most important species. They are extensively preserved for food. See Quinnat.
Salmon>>|<<v.>>|<<A reddish yellow or orange color, like the flesh of the salmon.
Saltant>>|<<v.>>|<<Leaping; jumping; dancing.
Saltant>>|<<v.>>|<<In a leaping position; springing forward; -- applied especially to the squirrel, weasel, and rat, also to the cat, greyhound, monkey, etc.
Saltire>>|<<v.>>|<<A St. Andrew's cross, or cross in the form of an X, -- one of the honorable ordinaries.
Salute>>|<<v.>>|<<The act of saluting, or expressing kind wishes or respect; salutation; greeting.
Salute>>|<<v.>>|<<A sign, token, or ceremony, expressing good will, compliment, or respect, as a kiss, a bow, etc.
Salute>>|<<v.>>|<<A token of respect or honor for some distinguished or official personage, for a foreign vessel or flag, or for some festival or event, as by presenting arms, by a discharge of cannon, volleys of small arms, dipping the colors or the topsails, etc.
Saunter>>|<<n. &amp; v.>>|<<To wander or walk about idly and in a leisurely or lazy manner; to lounge; to stroll; to loiter.
Savior>>|<<v.>>|<<One who saves, preserves, or delivers from destruction or danger.
Savior>>|<<v.>>|<<Specifically: The (or our, your, etc.) Savior, he who brings salvation to men; Jesus Christ, the Redeemer.
Scapement>>|<<v.>>|<<Same as Escapement, 3.
Scath>>|<<v.>>|<<Harm; damage; injury; hurt; waste; misfortune.
Scavenger>>|<<v.>>|<<A person whose employment is to clean the streets of a city, by scraping or sweeping, and carrying off the filth. The name is also applied to any animal which devours refuse, carrion, or anything injurious to health.
Scollop>>|<<n. &amp; v.>>|<<See Scallop.
Scomfit>>|<<n. &amp; v.>>|<<Discomfit.
Screak>>|<<v.>>|<<To utter suddenly a sharp, shrill sound; to screech; to creak, as a door or wheel.
Screech>>|<<v.>>|<<To utter a harsh, shrill cry; to make a sharp outcry, as in terror or acute pain; to scream; to shriek.
Scry>>|<<v.>>|<<A flock of wild fowl.
Scum>>|<<v.>>|<<The extraneous matter or impurities which rise to the surface of liquids in boiling or fermentation, or which form on the surface by other means; also, the scoria of metals in a molten state; dross.
Scum>>|<<v.>>|<<refuse; recrement; anything vile or worthless.
Scupper>>|<<v.>>|<<An opening cut through the waterway and bulwarks of a ship, so that water falling on deck may flow overboard; -- called also scupper hole.
Sdan>>|<<v. &amp; n.>>|<<Disdain.
Sent>>|<<v. &amp; n.>>|<<See Scent, v. &amp; n.
Shake>>|<<v.>>|<<To cause to move with quick or violent vibrations; to move rapidly one way and the other; to make to tremble or shiver; to agitate.
Shake>>|<<v.>>|<<Fig.: To move from firmness; to weaken the stability of; to cause to waver; to impair the resolution of.
Shake>>|<<v.>>|<<To give a tremulous tone to; to trill; as, to shake a note in music.
Shake>>|<<v.>>|<<To move or remove by agitating; to throw off by a jolting or vibrating motion; to rid one's self of; -- generally with an adverb, as off, out, etc.; as, to shake fruit down from a tree.
Shank>>|<<v.>>|<<The part of the leg from the knee to the foot; the shin; the shin bone; also, the whole leg.
Shank>>|<<v.>>|<<Hence, that part of an instrument, tool, or other thing, which connects the acting part with a handle or other part, by which it is held or moved.
Shank>>|<<v.>>|<<That part of a key which is between the bow and the part which enters the wards of the lock.
Shank>>|<<v.>>|<<The middle part of an anchor, or that part which is between the ring and the arms.
Shank>>|<<v.>>|<<That part of a hoe, rake, knife, or the like, by which it is secured to a handle.
Shank>>|<<v.>>|<<A loop forming an eye to a button.
Shank>>|<<v.>>|<<The space between two channels of the Doric triglyph.
Shank>>|<<v.>>|<<A large ladle for molten metal, fitted with long bars for handling it.
Shank>>|<<v.>>|<<The body of a type.
Shank>>|<<v.>>|<<The part of the sole beneath the instep connecting the broader front part with the heel.
Shank>>|<<v.>>|<<A wading bird with long legs; as, the green-legged shank, or knot; the yellow shank, or tattler; -- called also shanks.
Shank>>|<<v.>>|<<Flat-nosed pliers, used by opticians for nipping off the edges of pieces of glass to make them round.
Share>>|<<v.>>|<<A certain quantity; a portion; a part; a division; as, a small share of prudence.
Share>>|<<v.>>|<<Especially, the part allotted or belonging to one, of any property or interest owned by a number; a portion among others; an apportioned lot; an allotment; a dividend.
Share>>|<<v.>>|<<Hence, one of a certain number of equal portions into which any property or invested capital is divided; as, a ship owned in ten shares.
Share>>|<<v.>>|<<The pubes; the sharebone.
Sheave>>|<<v.>>|<<A wheel having a groove in the rim for a rope to work in, and set in a block, mast, or the like; the wheel of a pulley.
Shock>>|<<v.>>|<<To give a shock to; to cause to shake or waver; hence, to strike against suddenly; to encounter with violence.
Shock>>|<<v.>>|<<To strike with surprise, terror, horror, or disgust; to cause to recoil; as, his violence shocked his associates.
Shrimp>>|<<v.>>|<<Any one of numerous species of macruran Crustacea belonging to Crangon and various allied genera, having a slender body and long legs. Many of them are used as food. The larger kinds are called also prawns. See Illust. of Decapoda.
Shrimp>>|<<v.>>|<<In a more general sense, any species of the macruran tribe Caridea, or any species of the order Schizopoda, having a similar form.
Shrimp>>|<<v.>>|<<In a loose sense, any small crustacean, including some amphipods and even certain entomostracans; as, the fairy shrimp, and brine shrimp. See under Fairy, and Brine.
Shrimp>>|<<v.>>|<<Figuratively, a little wrinkled man; a dwarf; -- in contempt.
Shuffling>>|<<v.>>|<<In a shuffling manner.
Silage>>|<<n. &amp; v.>>|<<Short for Ensilage.
Skreen>>|<<n. &amp; v.>>|<<See Screen.
Skun>>|<<n. &amp; v.>>|<<See Scum.
Skurry>>|<<n. &amp; v.>>|<<See Scurry.
Slent>>|<<n. &amp; v.>>|<<See Slant.
Slipes>>|<<v.>>|<<Sledge runners on which a skip is dragged in a mine.
Smerk>>|<<n. &amp; v.>>|<<See Smirk.
Smicker>>|<<v.>>|<<Amorous; wanton; gay; spruce.
Sorwe>>|<<n. &amp; v.>>|<<Sorrow.
Soun>>|<<n. &amp; v.>>|<<Sound.
Sowce>>|<<n. &amp; v.>>|<<See Souse.
Sowse>>|<<n. &amp; v.>>|<<See Souse.
Spight>>|<<n. &amp; v.>>|<<Spite.
Spirt>>|<<v. &amp; n.>>|<<Same as Spurt.
Stean>>|<<n. &amp; v.>>|<<See Steen.
Steem>>|<<n. &amp; v.>>|<<See Esteem.
Steem>>|<<n. &amp; v.>>|<<See 1st and 2nd Stem.
Stein>>|<<n. &amp; v.>>|<<See Steen.
Still>>|<<v.>>|<<A vessel, boiler, or copper used in the distillation of liquids; specifically, one used for the distillation of alcoholic liquors; a retort. The name is sometimes applied to the whole apparatus used in in vaporization and condensation.
Still>>|<<v.>>|<<A house where liquors are distilled; a distillery.
Stoccade>>|<<n. &amp; v.>>|<<See Stockade.
Stythy>>|<<n. &amp; v.>>|<<See Stithy.
Summer>>|<<v.>>|<<One who sums; one who casts up an account.
Summons>>|<<v.>>|<<The act of summoning; a call by authority, or by the command of a superior, to appear at a place named, or to attend to some duty.
Summons>>|<<v.>>|<<A warning or citation to appear in court; a written notification signed by the proper officer, to be served on a person, warning him to appear in court at a day specified, to answer to the plaintiff, testify as a witness, or the like.
Summons>>|<<v.>>|<<A demand to surrender.
Swerd>>|<<n. &amp; v.>>|<<See Sward, n. &amp; v.
Swinck>>|<<v. &amp; n.>>|<<See Swink.
Swinge>>|<<v. &amp; n.>>|<<See Singe.
Swob>>|<<n. &amp; v.>>|<<See Swab.
Swop>>|<<v. &amp; n.>>|<<Same as Swap.
Swound>>|<<v. &amp; n.>>|<<See Swoon, v. &amp; n.
Swown>>|<<v. &amp; n.>>|<<Swoon.
Syke>>|<<n. &amp; v.>>|<<See Sike.
Tabour>>|<<n. &amp; v.>>|<<See Tabor.
Tabu>>|<<n. &amp; v.>>|<<See Taboo.
Tag>>|<<v.>>|<<A child's play in which one runs after and touches another, and then runs away to avoid being touched.
Tangle>>|<<v.>>|<<A knot of threads, or other thing, united confusedly, or so interwoven as not to be easily disengaged; a snarl; as, hair or yarn in tangles; a tangle of vines and briers. Used also figuratively.
Tangle>>|<<v.>>|<<An instrument consisting essentially of an iron bar to which are attached swabs, or bundles of frayed rope, or other similar substances, -- used to capture starfishes, sea urchins, and other similar creatures living at the bottom of the sea.
Tarbogan>>|<<n. &amp; v.>>|<<See Toboggan.
Tarre>>|<<v.>>|<<To set on, as a dog; to incite.
Task>>|<<v.>>|<<Labor or study imposed by another, often in a definite quantity or amount.
Task>>|<<v.>>|<<Business; employment; undertaking; labor.
Teathe>>|<<n. &amp; v.>>|<<See Tath.
Tene>>|<<n. &amp; v.>>|<<See 1st and 2d Teen.
Terrace>>|<<v.>>|<<A raised level space, shelf, or platform of earth, supported on one or more sides by a wall, a bank of tuft, or the like, whether designed for use or pleasure.
Terrace>>|<<v.>>|<<A balcony, especially a large and uncovered one.
Terrace>>|<<v.>>|<<A flat roof to a house; as, the buildings of the Oriental nations are covered with terraces.
Terrace>>|<<v.>>|<<A street, or a row of houses, on a bank or the side of a hill; hence, any street, or row of houses.
Terrace>>|<<v.>>|<<A level plain, usually with a steep front, bordering a river, a lake, or sometimes the sea.
Tew>>|<<v.>>|<<To prepare by beating or working, as leather or hemp; to taw.
Tew>>|<<v.>>|<<Hence, to beat; to scourge; also, to pull about; to maul; to tease; to vex.
Thraw>>|<<n. &amp; v.>>|<<See Throse.
Thrust>>|<<n. &amp; v.>>|<<Thrist.
Ticket>>|<<v.>>|<<A small piece of paper, cardboard, or the like, serving as a notice, certificate, or distinguishing token of something.
Ticket>>|<<v.>>|<<A little note or notice.
Ticket>>|<<v.>>|<<A tradesman's bill or account.
Ticket>>|<<v.>>|<<A certificate or token of right of admission to a place of assembly, or of passage in a public conveyance; as, a theater ticket; a railroad or steamboat ticket.
Ticket>>|<<v.>>|<<A label to show the character or price of goods.
Ticket>>|<<v.>>|<<A certificate or token of a share in a lottery or other scheme for distributing money, goods, or the like.
Ticket>>|<<v.>>|<<A printed list of candidates to be voted for at an election; a set of nominations by one party for election; a ballot.
Toast>>|<<v.>>|<<Bread dried and browned before a fire, usually in slices; also, a kind of food prepared by putting slices of toasted bread into milk, gravy, etc.
Toast>>|<<v.>>|<<A lady in honor of whom persons or a company are invited to drink; -- so called because toasts were formerly put into the liquor, as a great delicacy.
Toast>>|<<v.>>|<<Hence, any person, especially a person of distinction, in honor of whom a health is drunk; hence, also, anything so commemorated; a sentiment, as "The land we live in,"  "The day we celebrate," etc.
Toil>>|<<v.>>|<<Labor with pain and fatigue; labor that oppresses the body or mind, esp. the body.
Touch>>|<<v.>>|<<The act of touching, or the state of being touched; contact.
Touch>>|<<v.>>|<<The sense by which pressure or traction exerted on the skin is recognized; the sense by which the properties of bodies are determined by contact; the tactile sense. See Tactile sense, under Tactile.
Touch>>|<<v.>>|<<Act or power of exciting emotion.
Touch>>|<<v.>>|<<An emotion or affection.
Touch>>|<<v.>>|<<Personal reference or application.
Touch>>|<<v.>>|<<A stroke; as, a touch of raillery; a satiric touch; hence, animadversion; censure; reproof.
Touch>>|<<v.>>|<<A single stroke on a drawing or a picture.
Touch>>|<<v.>>|<<Feature; lineament; trait.
Touch>>|<<v.>>|<<The act of the hand on a musical instrument; bence, in the plural, musical notes.
Touch>>|<<v.>>|<<A small quantity intermixed; a little; a dash.
Touch>>|<<v.>>|<<A hint; a suggestion; slight notice.
Touch>>|<<v.>>|<<A slight and brief essay.
Touch>>|<<v.>>|<<A touchstone; hence, stone of the sort used for touchstone.
Touch>>|<<v.>>|<<Hence, examination or trial by some decisive standard; test; proof; tried quality.
Touch>>|<<v.>>|<<The particular or characteristic mode of action, or the resistance of the keys of an instrument to the fingers; as, a heavy touch, or a light touch; also, the manner of touching, striking, or pressing the keys of a piano; as, a legato touch; a staccato touch.
Touch>>|<<v.>>|<<The broadest part of a plank worked top and but (see Top and but, under Top, n.), or of one worked anchor-stock fashion (that is, tapered from the middle to both ends); also, the angles of the stern timbers at the counters.
Towage>>|<<v.>>|<<The act of towing.
Towage>>|<<v.>>|<<The price paid for towing.
Tract>>|<<v.>>|<<Something drawn out or extended; expanse.
Tract>>|<<v.>>|<<A region or quantity of land or water, of indefinite extent; an area; as, an unexplored tract of sea.
Tract>>|<<v.>>|<<Traits; features; lineaments.
Tract>>|<<v.>>|<<The footprint of a wild beast.
Tract>>|<<v.>>|<<Track; trace.
Tract>>|<<v.>>|<<Treatment; exposition.
Tract>>|<<v.>>|<<Continuity or extension of anything; as, the tract of speech.
Tract>>|<<v.>>|<<Continued or protracted duration; length; extent.
Tract>>|<<v.>>|<<Verses of Scripture sung at Mass, instead of the Alleluia, from Septuagesima Sunday till the Saturday befor Easter; -- so called because sung tractim, or without a break, by one voice, instead of by many as in the antiphons.
Trade>>|<<v.>>|<<A track; a trail; a way; a path; also, passage; travel; resort.
Trade>>|<<v.>>|<<Course; custom; practice; occupation; employment.
Trade>>|<<v.>>|<<Business of any kind; matter of mutual consideration; affair; dealing.
Trade>>|<<v.>>|<<Specifically: The act or business of exchanging commodities by barter, or by buying and selling for money; commerce; traffic; barter.
Trade>>|<<v.>>|<<The business which a person has learned, and which he engages in, for procuring subsistence, or for profit; occupation; especially, mechanical employment as distinguished from the liberal arts, the learned professions, and agriculture; as, we speak of the trade of a smith, of a carpenter, or mason, but not now of the trade of a farmer, or a lawyer, or a physician.
Trade>>|<<v.>>|<<Instruments of any occupation.
Trade>>|<<v.>>|<<A company of men engaged in the same occupation; thus, booksellers and publishers speak of the customs of the trade, and are collectively designated as the trade.
Trade>>|<<v.>>|<<The trade winds.
Trade>>|<<v.>>|<<Refuse or rubbish from a mine.
Traffic>>|<<v.>>|<<Commerce, either by barter or by buying and selling; interchange of goods and commodities; trade.
Traffic>>|<<v.>>|<<Commodities of the market.
Traffic>>|<<v.>>|<<The business done upon a railway, steamboat line, etc., with reference to the number of passengers or the amount of freight carried.
Train>>|<<v.>>|<<That which draws along; especially, persuasion, artifice, or enticement; allurement.
Train>>|<<v.>>|<<Hence, something tied to a lure to entice a hawk; also, a trap for an animal; a snare.
Train>>|<<v.>>|<<That which is drawn along in the rear of, or after, something; that which is in the hinder part or rear.
Train>>|<<v.>>|<<That part of a gown which trails behind the wearer.
Train>>|<<v.>>|<<The after part of a gun carriage; the trail.
Train>>|<<v.>>|<<The tail of a bird.
Train>>|<<v.>>|<<A number of followers; a body of attendants; a retinue; a suite.
Train>>|<<v.>>|<<A consecution or succession of connected things; a series.
Train>>|<<v.>>|<<Regular method; process; course; order; as, things now in a train for settlement.
Train>>|<<v.>>|<<The number of beats of a watch in any certain time.
Train>>|<<v.>>|<<A line of gunpowder laid to lead fire to a charge, mine, or the like.
Train>>|<<v.>>|<<A connected line of cars or carriages on a railroad.
Train>>|<<v.>>|<<A heavy, long sleigh used in Canada for the transportation of merchandise, wood, and the like.
Train>>|<<v.>>|<<A roll train; as, a 12-inch train.
Trait>>|<<v.>>|<<A stroke; a touch.
Trait>>|<<v.>>|<<A distinguishing or marked feature; a peculiarity; as, a trait of character.
